Holsworthy,East Hills,,,,,
Homebush,Strathfield,,,,,
Hornsby,Waitara,,,,,
Hornsby,Normanhurst,,,,,
Hurlstone Park,Dulwich Hill,,,,,
Hurstville,Allawah,,,,,
Ingleburn,Macquarie Fields,,,,,
International Airport,Domestic Airport,,,,,
Jannali,Como,,,,,
Killara,Lindfield,,,,,
Kings Cross,Martin Place,,,,,
Kingsgrove,Bexley North,,,,,
Kingswood,Werrington,,,,,
Kirrawee,Sutherland,,,,,
Kogarah,Rockdale,,,,,
Lakemba,Belmore,,,,,
Leightonfield,Chester Hill,,,,,
Leppington,Edmondson Park,,,,,
Leumeah,Minto,,,,,
Lewisham,Petersham,,,,,
Lidcombe,Flemington,,,,,
Lidcombe,Berala,,,,,
Lindfield,Roseville,,,,,
Liverpool,Warwick Farm,,,,,
Loftus,Sutherland,,,,,
Macarthur,Campbelltown,,,,,
Macdonaldtown,Redfern,,,,,
Macquarie Fields,Glenfield,,,,,
Macquarie Park,North Ryde,,,,,
Macquarie University,Macquarie Park,,,,,
Marayong,Blacktown,,,,,
Marrickville,Sydenham,,,,,
Martin Place,Town Hall,,,,,
Mascot,Green Square,,,,,
Meadowbank,Rhodes,,,,,
Merrylands,Harris Park,,,,,
Merrylands,Granville,,,,,
Milsons Point,Wynyard,,,,,
Minto,Ingleburn,,,,,
Miranda,Gymea,,,,,
Mortdale,Penshurst,,,,,
Mount Colah,Asquith,,,,,
Mount Druitt,Rooty Hill,,,,,
Mount Kuring-gai,Mount Colah,,,,,
Mulgrave,Vineyard,,,,,
Museum,St James,,,,,
Narwee,Beverly Hills,,,,,
Newtown,Macdonaldtown,,,,,
Normanhurst,Thornleigh,,,,,
North Ryde,Chatswood,,,,,
North Strathfield,Strathfield,,,,,
North Sydney,Milsons Point,,,,,
Oatley,Mortdale,,,,,
Olympic Park,Lidcombe,,,,,
Padstow,Riverwood,,,,,
Panania,Revesby,,,,,
Parramatta,Harris Park,,,,,
Pendle Hill,Wentworthville,,,,,
Pennant Hills,Beecroft,,,,,
Penrith,Kingswood,,,,,
Penshurst,Hurstville,,,,,
Petersham,Stanmore,,,,,
Punchbowl,Wiley Park,,,,,
Pymble,Gordon,,,,,
Quakers Hill,Marayong,,,,,
Redfern,Central,,,,,
Regents Park,Birrong,,,,,
Revesby,Padstow,,,,,
Rhodes,Concord West,,,,,
Richmond,East Richmond,,,,,
Riverstone,Schofields,,,,,
Riverwood,Narwee,,,,,
Rockdale,Banksia,,,,,
Rooty Hill,Doonside,,,,,
Rosehill,Clyde,,,,,
Roseville,Chatswood,,,,,
Rydalmere,Camellia,,,,,
Schofields,Quakers Hill,,,,,
Sefton,Birrong,,,,,
Seven Hills,Toongabbie,,,,,
St James,Circular Quay,,,,,
St Leonards,Wollstonecraft,,,,,
St Marys,Mount Druitt,,,,,
St Peters,Erskineville,,,,,
Stanmore,Newtown,,,,,
Strathfield,Burwood,,,,,
Summer Hill,Lewisham,,,,,
Sutherland,Jannali,,,,,
Sydenham,St Peters,,,,,
Telopea,Dundas,,,,,
Tempe,Sydenham,,,,,
Thornleigh,Pennant Hills,,,,,
Toongabbie,Pendle Hill,,,,,
Town Hall,Central,,,,,
Turramurra,Pymble,,,,,
Turrella,Wolli Creek,,,,,
Villawood,Leightonfield,,,,,
Vineyard,Riverstone,,,,,
Wahroonga,Warrawee,,,,,
Waitara,Wahroonga,,,,,
Warrawee,Turramurra,,,,,
Warwick Farm,Cabramatta,,,,,
Waterfall,Heathcote,,,,,
Waverton,North Sydney,,,,,
Wentworthville,Westmead,,,,,
Werrington,St Marys,,,,,
West Ryde,Meadowbank,,,,,
Westmead,Parramatta,,,,,
Wiley Park,Lakemba,,,,,
Windsor,Mulgrave,,,,,
Wolli Creek,Tempe,,,,,
Wolli Creek,International Airport,,,,,
Wollstonecraft,Waverton,,,,,
Woolooware,Caringbah,,,,,
Wynyard,Town Hall,,,,,
Yagoona,Bankstown,,,,,
Yennora,Guildford,,,,,
